Talhão;Código;Latitude;Longitude
MI-19;AL551171Z;-16.409;-55.144
MI-20;AL550850Z;-16.403;-55.155
MI-21;AL551172Z;-16.412;-55.152
MI-22;AL551290Z;-16.428;-55.154
MI-23;AL551291Z;-16.427;-55.163
MI-24;AL551292Z;-16.428;-55.171
MI-25;AL551387Z;-16.394;-55.157
MI-27;AL550529Z;-16.375;-55.114
MI-28;AL550530Z;-16.366;-55.116
MI-29;AL553689Z;-16.357;-55.12
MI-29;AL551315Z;-16.359;-55.127
MI-31;AL550853Z;-16.37;-55.103
MI-32;AL550854Z;-16.362;-55.107
MI-33;AL553690Z;-16.354;-55.112
MI-33;AL551316Z;-16.352;-55.107
MI-36;AL551177Z;-16.362;-55.075
MI-36;AL550817Z;-16.365;-55.092
MI-37;AL549927Z;-16.362;-55.075
MI-37;AL550818Z;-16.354;-55.095
MI-38;AL553691Z;-16.348;-55.099
MI-38;AL551317Z;-16.35;-55.103
MI-40;AL554163Z;-16.362;-55.075
MI-40;AL550855Z;-16.361;-55.084
MI-41;AL554164Z;-16.362;-55.075
MI-41;AL550856Z;-16.353;-55.089
MI-41;AL551179Z;-16.35;-55.088
MI-42;AL553692Z;-16.345;-55.091
MI-44;AL550829Z;-16.362;-55.075
MI-44;AL550846Z;-16.354;-55.078
MI-45;AL554165Z;-16.362;-55.075
MI-45;AL550095Z;-16.356;-55.069
MI-46;AL554166Z;-16.362;-55.075
MI-46;AL550096Z;-16.347;-55.071
MI-47;AL554167Z;-16.362;-55.075
MI-47;AL550872Z;-16.352;-55.055
MI-48;AL554168Z;-16.362;-55.075
MI-48;AL550857Z;-16.35;-55.041
MI-49;AL554169Z;-16.362;-55.075
MI-49;AL553680Z;-16.344;-55.032
MI-49;AL550858Z;-16.35;-55.031
MI-50;AL554170Z;-16.35;-55.022
MI-50;AL550100Z;-16.35;-55.022
MI-50;AL550859Z;-16.349;-55.023
MI-51;AL551388Z;-16.362;-55.075
MI-51;AL551880Z;-16.353;-55.018
MN-01;AL553747Z;-13.849;-54.757
MN-01;AL551021Z;-13.844;-54.773
MN-02;AL553748Z;-13.849;-54.757
MN-02;AL550535Z;-13.852;-54.763
MN-03;AL550536Z;-13.858;-54.772
MN-04;AL551885Z;-13.85;-54.782
MN-05;AL550246Z;-13.856;-54.783
MN-06;AL550933Z;-13.864;-54.79
MN-07;AL550934Z;-13.883;-54.786
MN-08;AL553749Z;-13.849;-54.757
MN-08;AL550247Z;-13.877;-54.775
MN-09;AL553750Z;-13.849;-54.757
MN-09;AL550935Z;-13.867;-54.773
MN-10;AL553751Z;-13.849;-54.757
MN-10;AL550936Z;-13.866;-54.761
MN-11;AL553752Z;-13.849;-54.757
MN-11;AL550937Z;-13.861;-54.75
MN-12;AL552777Z;-13.857;-54.792
MN-12;AL550938Z;-13.872;-54.735
MO-01;AL550538Z;-16.398;-55.197
MO-02;AL550539Z;-16.4;-55.205
MO-03-1;AL550540Z;-16.402;-55.212
MO-03-2;AL553571Z;-16.402;-55.212
MO-04;AL551319Z;-16.413;-55.211
MO-05;AL551320Z;-16.417;-55.215
MP-01;AL553839Z;-13.45;-56.576
MP-01;AL550887Z;-13.443;-56.578
MP-02;AL553840Z;-13.454;-56.571
MP-02;AL550888Z;-13.454;-56.571
MP-03;AL553841Z;-13.45;-56.576
MP-03;AL550543Z;-13.449;-56.585
MP-04;AL553842Z;-13.45;-56.576
MP-04;AL550544Z;-13.454;-56.576
MP-05;AL553843Z;-13.45;-56.576
MP-05;AL551271Z;-13.459;-56.577
MP-06;AL553844Z;-13.45;-56.576
MP-06;AL550546Z;-13.461;-56.585
MP-07;AL553845Z;-13.45;-56.576
MP-07;AL550547Z;-13.456;-56.597
MP-08;AL553846Z;-13.45;-56.576
MP-08;AL551273Z;-13.468;-56.596
MP-09;AL552868Z;-13.454;-56.566
MP-09;AL551274Z;-13.476;-56.602
MP-10;AL552869Z;-13.454;-56.566
MP-10;AL552018Z;-13.468;-56.581
MP-11;AL552870Z;-13.454;-56.566
MP-11;AL552019Z;-13.481;-56.581
MP-12;AL552871Z;-13.454;-56.566
MP-12;AL552020Z;-13.477;-56.671
MP-13;AL553847Z;-13.45;-56.576
MP-13;AL552021Z;-13.468;-56.681
MS-01;AL550548Z;-16.378;-55.217
MS-02;AL550549Z;-16.38;-55.21
MS-03;AL550550Z;-16.389;-55.202
MS-03-1;AL551183Z;-16.389;-55.212
MS-03-2;AL553740Z;-16.389;-55.212
MS-04;AL550903Z;-16.389;-55.224
MS-05;AL550551Z;-16.399;-55.218
NS-01;AL554104Z;-11.927;-56.157
NS-01;AL550248Z;-11.987;-56.214
NS-02;AL554105Z;-11.927;-56.157
NS-02;AL550874Z;-11.92;-56.153
NS-02;AL550101Z;-11.927;-56.158
NS-03;AL554106Z;-11.927;-56.157
NS-03;AL550102Z;-11.913;-56.154
NS-04;AL554107Z;-11.927;-56.157
NS-04;AL550103Z;-11.912;-56.143
NS-05;AL554108Z;-11.927;-56.157
NS-05;AL550104Z;-11.919;-56.143
NS-06;AL554109Z;-11.927;-56.157
NS-06;AL550255Z;-11.911;-56.124
NS-07;AL554110Z;-11.927;-56.157
NS-07;AL550257Z;-11.91;-56.114
NS-08;AL554111Z;-11.927;-56.157
NS-08;AL550105Z;-11.902;-56.103
NS-09;AL554112Z;-11.927;-56.157
NS-09;AL550106Z;-11.903;-56.093
NS-10;AL554113Z;-11.927;-56.157
NS-10;AL550107Z;-11.9;-56.086
NS-11;AL554114Z;-11.927;-56.157
NS-11;AL550265Z;-11.882;-56.105
NS-12;AL554115Z;-11.927;-56.157
NS-12;AL550267Z;-11.881;-56.097
NS-13;AL554116Z;-11.927;-56.157
NS-13;AL550269Z;-11.881;-56.085
NS-14;AL554117Z;-11.927;-56.157
NS-14;AL550273Z;-11.873;-56.102
NS-15;AL554118Z;-11.927;-56.157
NS-15;AL550275Z;-11.863;-56.084
NS-16;AL554119Z;-11.856;-56.09
NS-16;AL550277Z;-11.856;-56.09
NS-17;AL554120Z;-11.927;-56.157
NS-17;AL550867Z;-11.867;-56.125
NS-18;AL554121Z;-11.927;-56.157
NS-18;AL550868Z;-11.866;-56.133
NS-19;AL554122Z;-11.927;-56.157
NS-19;AL550284Z;-11.88;-56.138
NS-20;AL554123Z;-11.927;-56.157
NS-20;AL550286Z;-11.883;-56.154
NS-21;AL554124Z;-11.927;-56.157
NS-21;AL550883Z;-11.872;-56.156
NV-01;AL553080Z;-14.882;-52.29
NV-01;AL553595Z;-14.89;-52.285
NV-02;AL553081Z;-14.882;-52.29
NV-02;AL553596Z;-14.886;-52.28
NV-03;AL553082Z;-14.882;-52.29
NV-03;AL553597Z;-14.879;-52.267
NV-04;AL553598Z;-14.883;-52.261
NV-05;AL553561Z;-14.871;-52.246
NV-05-2;AL553320Z;-14.875;-52.255
NV-06;AL553562Z;-14.882;-52.243
NV-07;AL553563Z;-14.864;-52.232
NV-08;AL553564Z;-14.875;-52.229
NV-09;AL553599Z;-14.852;-52.223
NV-10;AL553600Z;-14.857;-52.234
NV-11;AL553601Z;-14.859;-52.249
NV-12;AL553602Z;-14.849;-52.237
NV-13;AL553603Z;-14.837;-52.245
NV-14;AL553604Z;-14.834;-52.234
NV-15;AL553523Z;-14.866;-52.217
NV-16;AL553605Z;-14.838;-52.221
NV-17;AL553524Z;-14.848;-52.214
NV-18;AL553525Z;-14.845;-52.206
NV-19;AL553526Z;-14.841;-52.198
NV-20;AL553565Z;-14.84;-52.189
NV-21;AL553566Z;-14.832;-52.191
NV-22;AL553567Z;-14.829;-52.184
NV-23;AL553606Z;-14.848;-52.174
NV-24;AL553607Z;-14.856;-52.176
NV-25;AL553568Z;-14.861;-52.19
NV-26;AL553527Z;-14.863;-52.198
NV-27;AL553528Z;-14.868;-52.208
NV-28;AL553529Z;-14.86;-52.214
NV-29;AL553773Z;-14.856;-52.204
NV-29;AL553530Z;-14.856;-52.204
NV-30;AL553569Z;-14.852;-52.195
NV-31-1;AL553570Z;-14.848;-52.188
NV-31-2;AL553735Z;-14.848;-52.188
NV-32;AL553573Z;-14.821;-52.206
NV-33;AL553574Z;-14.821;-52.221
NV-34;AL553575Z;-14.815;-52.219
NV-35;AL553576Z;-14.819;-52.236
NV-36;AL553577Z;-14.812;-52.242
NV-37;AL553578Z;-14.802;-52.222
NV-38;AL553579Z;-14.805;-52.237
NV-39;AL553580Z;-14.806;-52.21
NV-40;AL553581Z;-14.809;-52.193
NV-41;AL553582Z;-14.793;-52.2
NV-42;AL553583Z;-14.785;-52.197
NV-43;AL553584Z;-14.776;-52.203
NV-44;AL553585Z;-14.785;-52.224
NV-45;AL553586Z;-14.791;-52.232
NV-46;AL553587Z;-14.794;-52.241
NV-47;AL554286Z;-14.875;-52.279
NV-47;AL552728Z;-14.765;-52.205
NV-48;AL554287Z;-14.875;-52.279
NV-48;AL552729Z;-14.755;-52.21
NV-49;AL554288Z;-14.875;-52.279
NV-49;AL552730Z;-14.745;-52.215
NV-50;AL553588Z;-14.821;-52.267
NV-51;AL553589Z;-14.811;-52.253
NV-52;AL553590Z;-14.805;-52.26
NV-53;AL553592Z;-14.808;-52.272
NV-54;AL554289Z;-14.875;-52.279
NV-54;AL552732Z;-14.793;-52.257
NV-55;AL553079Z;-14.788;-52.254
NV-55;AL553593Z;-14.788;-52.255
OR-01-1;AL550552Z;-16.238;-55.096
OR-01-2;AL553572Z;-16.238;-55.096
OR-01-3;AL553622Z;-16.238;-55.096
OR-02;AL551869Z;-16.228;-55.084
OR-02-1;AL550553Z;-16.227;-55.088
OR-02-2;AL553623Z;-16.227;-55.088
OR-03;AL550554Z;-16.224;-55.096
OR-04;AL554195Z;-16.234;-55.12
OR-04;AL553663Z;-16.208;-55.11
OR-04;AL551187Z;-16.208;-55.099
OR-05;AL554196Z;-16.386;-55.162
OR-05;AL551188Z;-16.215;-55.09
OR-06;AL554197Z;-16.234;-55.12
OR-06;AL551189Z;-16.215;-55.084
OR-07;AL553665Z;-16.227;-55.08
OR-07;AL551870Z;-16.23;-55.075
OR-08;AL551871Z;-16.233;-55.057
OR-08;AL550556Z;-16.23;-55.065
OR-09;AL554198Z;-16.234;-55.12
OR-09;AL551190Z;-16.22;-55.071
OR-10;AL554199Z;-16.234;-55.12
OR-10;AL551191Z;-16.223;-55.059
OR-11;AL554200Z;-16.234;-55.12
OR-11;AL551192Z;-16.212;-55.063
OR-12;AL550905Z;-16.235;-55.048
OR-13;AL554201Z;-16.234;-55.12
OR-13;AL552897Z;-16.227;-55.031
OR-13;AL551193Z;-16.227;-55.031
OR-14;AL554202Z;-16.234;-55.12
OR-14;AL551194Z;-16.227;-55.04
OR-15;AL554203Z;-16.234;-55.12
OR-15;AL551195Z;-16.225;-55.048
OR-16;AL554204Z;-16.234;-55.12
OR-16;AL551196Z;-16.214;-55.04
OR-17;AL554205Z;-16.234;-55.12
OR-17;AL551197Z;-16.218;-55.033
OV-01;AL553936Z;-16.75;-53.899
OV-01;AL551059Z;-16.761;-53.888
OV-02;AL553937Z;-16.749;-53.899
OV-02;AL552045Z;-16.749;-53.899
OV-02;AL551060Z;-16.745;-53.898
OV-03;AL553938Z;-16.749;-53.899
OV-03;AL551061Z;-16.741;-53.902
OV-04;AL553939Z;-16.749;-53.899
OV-04;AL551062Z;-16.741;-53.893
OV-05;AL550290Z;-16.727;-53.89
OV-06;AL550292Z;-16.719;-53.884
OV-07;AL550295Z;-16.712;-53.881
OV-08;AL553940Z;-16.749;-53.899
OV-08;AL550297Z;-16.704;-53.887
OV-09;AL553941Z;-16.749;-53.899
OV-09;AL553548Z;-16.712;-53.889
OV-09;AL550298Z;-16.711;-53.898
OV-10;AL553942Z;-16.749;-53.899
OV-10;AL550299Z;-16.749;-53.962
PA-01;AL553943Z;-16.803;-53.907
PA-01;AL551198Z;-16.806;-53.908
PA-02;AL553944Z;-16.749;-53.899
PA-02;AL551199Z;-16.802;-53.897
PA-03;AL553945Z;-16.749;-53.899
PA-03;AL551200Z;-16.801;-53.906
PA-04;AL553974Z;-16.785;-53.89
PA-04;AL553946Z;-16.749;-53.899
PA-04;AL551201Z;-16.792;-53.891
PA-05;AL553709Z;-16.786;-53.906
PA-05;AL551202Z;-16.786;-53.905
PA-06;AL551203Z;-16.783;-53.897
PA-07;AL551204Z;-16.776;-53.891
PA-401;AL552805Z;-13.713;-55.628
PA-401;AL551026Z;-13.72;-55.614
PA-402;AL552806Z;-13.713;-55.628
PA-402;AL551831Z;-13.722;-55.629
PA-403;AL552807Z;-13.713;-55.628
PA-403;AL550558Z;-13.72;-55.64
PA-404;AL552808Z;-13.713;-55.628
PA-404;AL550559Z;-13.722;-55.648
PA-405;AL552809Z;-13.713;-55.628
PA-405;AL550560Z;-13.708;-55.639
PA-406;AL552810Z;-13.713;-55.628
PA-406;AL550561Z;-13.695;-55.619
PA-407;AL552811Z;-13.713;-55.628
PA-407;AL550562Z;-13.696;-55.632
PA-408;AL552812Z;-13.713;-55.628
PA-408;AL550563Z;-13.688;-55.619
PA-409;AL552813Z;-13.713;-55.628
PA-409;AL550564Z;-13.69;-55.634
PA-410;AL550565Z;-13.678;-55.627
PA-411;AL550566Z;-13.666;-55.625
PA-412;AL550567Z;-13.67;-55.636
PA-413;AL550568Z;-13.66;-55.639
PA-414;AL550569Z;-13.65;-55.626
PA-415;AL550570Z;-13.652;-55.636
PA-416;AL550571Z;-13.638;-55.625
PA-417;AL550572Z;-13.638;-55.635
PA-418;AL551027Z;-13.633;-55.639
PASTO - MI-15;AL552447Z;-16.394;-55.142
PASTO - MI-17;AL549545Z;-16.409;-55.126
PASTO - MI-27;AL552051Z;-16.376;-55.121
PASTO - MI-28;AL552052Z;-16.369;-55.125
PASTO - MI-29;AL552053Z;-16.361;-55.129
PASTO - MI-30;AL553625Z;-16.351;-55.124
PASTO - MI-34;AL553627Z;-16.345;-55.117
PASTO - MI-35;AL553628Z;-16.342;-55.111
PASTO - MI-39;AL553630Z;-16.338;-55.101
PASTO - MI-43;AL553632Z;-16.334;-55.094
PASTO - SL-13;AL553126Z;-16.439;-55.204
PASTO - SL-14;AL553127Z;-16.457;-55.2
PB-01;AL554290Z;-13.703;-52.725
PB-01;AL550950Z;-13.692;-52.771
PB-02;AL554291Z;-13.703;-52.725
PB-02;AL550955Z;-13.68;-52.762
PB-03;AL554292Z;-13.703;-52.725
PB-03;AL550956Z;-13.667;-52.758
PB-04;AL554293Z;-13.703;-52.725
PB-04;AL550957Z;-13.67;-52.752
PB-05;AL551356Z;-13.703;-52.725
PB-05;AL550958Z;-13.683;-52.754
PB-06;AL554294Z;-13.703;-52.725
PB-06;AL550959Z;-13.695;-52.755
PB-07;AL550960Z;-13.701;-52.729
PB-07;AL551915Z;-13.698;-52.737
PB-08;AL554295Z;-13.703;-52.725
PB-08;AL550961Z;-13.692;-52.736
PB-09;AL553732Z;-13.684;-52.742
PB-09;AL551832Z;-13.684;-52.742
PB-10;AL550963Z;-13.703;-52.725
PB-10;AL551833Z;-13.684;-52.728
PB-11;AL554296Z;-13.703;-52.725
PB-11;AL551834Z;-13.671;-52.737
PB-12;AL554297Z;-13.703;-52.725
PB-12;AL550965Z;-13.673;-52.726
PB-13;AL551835Z;-13.665;-52.739
PB-14;AL554298Z;-13.703;-52.725
PB-14;AL550930Z;-13.656;-52.748
PB-15;AL550967Z;-13.703;-52.725
PB-15;AL551836Z;-13.661;-52.731
PB-16;AL550968Z;-13.664;-52.712
PB-16;AL551837Z;-13.664;-52.712
PB-17;AL554299Z;-13.703;-52.725
PB-17;AL550969Z;-13.648;-52.712
PB-18;AL549988Z;-13.703;-52.725
PB-18;AL549861Z;-13.653;-52.7
PB-18-1;AL551357Z;-13.649;-52.695
PB-18-2;AL549987Z;-13.656;-52.704
PB-19;AL554300Z;-13.703;-52.725
PB-19;AL550573Z;-13.669;-52.708
PB-20;AL550970Z;-13.703;-52.725
PB-20;AL551838Z;-13.673;-52.714
PB-21;AL554301Z;-13.703;-52.725
PB-21;AL550574Z;-13.68;-52.709
PB-22;AL550971Z;-13.703;-52.725
PB-22;AL551839Z;-13.689;-52.713
PB-23;AL554302Z;-13.703;-52.725
PB-23;AL550575Z;-13.696;-52.703
PB-24;AL554303Z;-13.703;-52.725
PB-24;AL550972Z;-13.707;-52.713
PB-25;AL554304Z;-13.703;-52.725
PB-25;AL550576Z;-13.712;-52.707
PB-26;AL554305Z;-13.703;-52.725
PB-26;AL550973Z;-13.716;-52.716
PB-27;AL550577Z;-13.724;-52.711
PB-28;AL554306Z;-13.703;-52.725
PB-28;AL550974Z;-13.734;-52.723
PB-29;AL554307Z;-13.703;-52.725
PB-29;AL550578Z;-13.737;-52.713
PB-30;AL554308Z;-13.703;-52.725
PB-30;AL550975Z;-13.748;-52.722
PB-31;AL550579Z;-13.75;-52.715
PB-32;AL554309Z;-13.703;-52.725
PB-32;AL550580Z;-13.762;-52.727
PB-33;AL554310Z;-13.703;-52.725
PB-33;AL550581Z;-13.763;-52.721
PE-01;AL553216Z;-15.963;-55.301
PE-01;AL553464Z;-15.976;-55.311
PE-01;AL553213Z;-15.97;-55.311
PE-02;AL553217Z;-15.963;-55.301
PE-02;AL553465Z;-15.989;-55.312
PE-02;AL553214Z;-15.989;-55.314
PE-03;AL553218Z;-15.963;-55.301
PE-03;AL553466Z;-16.005;-55.318
PE-03;AL553215Z;-16.006;-55.322
PE-04;AL553219Z;-15.963;-55.301
PE-04;AL553467Z;-15.972;-55.3
PE-05;AL553220Z;-15.963;-55.301
PE-05;AL553468Z;-15.982;-55.302
PE-06;AL553221Z;-15.963;-55.301
PE-06-1;AL553469Z;-15.995;-55.305
PE-06-2;AL553679Z;-15.995;-55.305
PE-07;AL553222Z;-15.963;-55.301
PE-07;AL553470Z;-15.992;-55.296
PE-08;AL553223Z;-15.963;-55.301
PE-08;AL553471Z;-15.988;-55.288
PE-09;AL553224Z;-15.963;-55.301
PE-09;AL553472Z;-15.979;-55.286
PE-10;AL553225Z;-15.963;-55.301
PE-10;AL553473Z;-15.969;-55.289
PE-11;AL553226Z;-15.963;-55.301
PE-11-1;AL553714Z;-15.971;-55.279
PE-11-2;AL553474Z;-15.971;-55.279
PE-12;AL553227Z;-15.963;-55.301
PE-12;AL553652Z;-15.964;-55.278
PE-13;AL553228Z;-15.963;-55.301
PE-13;AL553475Z;-15.975;-55.272
PE-14;AL553229Z;-15.963;-55.301
PE-14;AL553653Z;-15.991;-55.281
PE-15;AL553230Z;-15.963;-55.301
PE-15-1;AL553715Z;-16.01;-55.288
PE-15-2;AL553476Z;-16.01;-55.288
PE-16;AL553231Z;-15.963;-55.301
PE-16;AL553654Z;-16.003;-55.284
PE-17;AL553232Z;-15.963;-55.301
PE-17;AL553716Z;-15.997;-55.273
PE-17;AL553477Z;-15.997;-55.273
PE-18;AL553233Z;-15.963;-55.301
PE-18;AL553717Z;-15.992;-55.267
PE-18;AL553478Z;-15.992;-55.267
PE-19;AL553234Z;-15.963;-55.301
PE-19;AL553479Z;-16.015;-55.287
PE-20;AL553235Z;-15.963;-55.301
PE-20;AL553480Z;-16.009;-55.27
PE-21;AL553236Z;-15.963;-55.301
PE-21-1;AL553481Z;-16.006;-55.258
PE-21-2;AL553707Z;-16.006;-55.258
PE-22;AL553237Z;-15.963;-55.301
PE-22;AL553482Z;-16.003;-55.252
PE-23;AL553238Z;-15.963;-55.301
PE-23;AL553655Z;-15.99;-55.242
PE-24;AL553239Z;-15.963;-55.301
PE-24;AL553656Z;-15.996;-55.229
PE-25;AL553485Z;-15.986;-55.235
PE-26;AL553486Z;-15.978;-55.24
PE-27;AL553487Z;-15.971;-55.25
PE-27;AL553366Z;-15.975;-55.256
PE-28;AL553488Z;-15.964;-55.252
PE-28;AL553367Z;-15.965;-55.257
PE-29;AL553489Z;-15.956;-55.255
PE-29;AL553368Z;-15.957;-55.26
PE-30;AL553490Z;-15.947;-55.248
PE-31;AL553491Z;-15.945;-55.26
PE-31;AL553370Z;-15.945;-55.261
PE-32;AL553492Z;-15.933;-55.264
PE-33;AL553493Z;-15.938;-55.255
PE-34;AL553494Z;-15.927;-55.258
PE-35;AL553657Z;-15.912;-55.26
PE-35;AL553495Z;-15.918;-55.263
PE-36;AL553251Z;-15.963;-55.301
PE-36;AL553658Z;-15.927;-55.248
PE-37;AL553252Z;-15.963;-55.301
PE-37;AL553659Z;-15.927;-55.241
PE-38;AL553253Z;-15.963;-55.301
PE-38;AL553660Z;-15.941;-55.231
PE-38;AL553728Z;-15.935;-55.239
PE-39;AL553719Z;-15.941;-55.239
PE-39;AL553496Z;-15.941;-55.239
PE-40;AL553664Z;-15.951;-55.23
PE-40;AL553497Z;-15.953;-55.235
PE-41;AL553729Z;-15.967;-55.239
PE-41;AL553498Z;-15.957;-55.242
PE-42;AL553257Z;-15.963;-55.301
PE-42;AL553661Z;-15.961;-55.231
PE-43;AL553258Z;-15.963;-55.301
PE-43;AL553662Z;-15.946;-55.225
PE-44;AL553199Z;-15.944;-55.184
PF-01;AL551205Z;-10.619;-45.492
PF-01;AL549214Z;-10.619;-45.492
PF-02;AL551206Z;-10.629;-45.501
PF-02;AL549216Z;-10.629;-45.501
PF-03;AL551207Z;-10.633;-45.512
PF-03;AL549212Z;-10.633;-45.512
PF-04;AL551208Z;-10.644;-45.521
PF-04;AL549217Z;-10.644;-45.521
PF-05;AL551209Z;-10.607;-45.506
PF-05;AL549215Z;-10.607;-45.506
PF-06;AL551210Z;-10.618;-45.512
PF-06;AL549213Z;-10.618;-45.512
PF-07;AL551211Z;-10.63;-45.518
PF-07;AL549218Z;-10.63;-45.518
PF-08;AL551212Z;-10.624;-45.48
PF-08;AL549518Z;-10.624;-45.48
PI-01;AL554017Z;-12.221;-55.852
PI-01;AL550307Z;-12.221;-55.845
PI-02;AL554018Z;-12.221;-55.852
PI-02;AL550308Z;-12.212;-55.851
PI-03;AL554019Z;-12.221;-55.852
PI-03;AL550582Z;-12.217;-55.834
PI-04;AL554020Z;-12.221;-55.852
PI-04;AL550583Z;-12.212;-55.837
PI-05;AL554021Z;-12.221;-55.852
PI-05;AL550584Z;-12.201;-55.837
PI-06;AL554022Z;-12.221;-55.852
PI-06;AL550315Z;-12.219;-55.823
PI-07;AL554023Z;-12.221;-55.852
PI-07;AL550317Z;-12.212;-55.825
PI-08;AL549597Z;-12.221;-55.852
PI-08;AL550320Z;-12.2;-55.829
PI-09;AL554024Z;-12.221;-55.852
PI-09;AL550324Z;-12.191;-55.827
PI-10;AL554025Z;-12.221;-55.852
PI-10;AL550325Z;-12.22;-55.813
PI-11;AL554026Z;-12.221;-55.852
PI-11;AL550328Z;-12.211;-55.811
PI-12;AL554027Z;-12.221;-55.852
PI-12;AL550331Z;-12.2;-55.812
PI-13;AL554028Z;-12.221;-55.852
PI-13;AL550333Z;-12.191;-55.816
PI-14;AL554029Z;-12.221;-55.852
PI-14;AL550334Z;-12.22;-55.798
PI-15;AL554030Z;-12.221;-55.852
PI-15;AL550336Z;-12.211;-55.799
PI-16;AL554031Z;-12.221;-55.852
PI-16;AL550338Z;-12.207;-55.789
PI-17;AL554032Z;-12.221;-55.852
PI-17;AL550340Z;-12.197;-55.789
PI-18;AL554033Z;-12.221;-55.852
PI-18;AL550352Z;-12.187;-55.785
PI-19;AL554034Z;-12.221;-55.852
PI-19;AL550355Z;-12.18;-55.79
PI-20;AL554035Z;-12.221;-55.852
PI-20;AL550357Z;-12.194;-55.8
PI-21;AL554036Z;-12.221;-55.852
PI-21;AL550358Z;-12.191;-55.806
PI-22;AL554037Z;-12.221;-55.852
PI-22;AL550360Z;-12.181;-55.808
PI-23;AL554038Z;-12.221;-55.852
PI-23;AL550362Z;-12.183;-55.829
PI-24;AL554039Z;-12.221;-55.852
PI-24;AL550364Z;-12.184;-55.843
PI-25;AL554040Z;-12.221;-55.852
PI-25;AL550585Z;-12.19;-55.833
PI-26;AL549598Z;-12.221;-55.852
PI-26;AL551840Z;-12.198;-55.846
PI-26;AL550365Z;-12.192;-55.843
PI-27;AL554041Z;-12.221;-55.852
PI-27;AL550587Z;-12.195;-55.854
PI-28;AL554042Z;-12.221;-55.852
PI-28;AL550843Z;-12.187;-55.852
PI-29;AL554043Z;-12.221;-55.852
PI-29;AL550588Z;-12.174;-55.853
PI-30;AL554044Z;-12.221;-55.852
PI-30;AL550589Z;-12.166;-55.848
PI-31;AL554045Z;-12.221;-55.852
PI-31;AL550368Z;-12.168;-55.858
PI-32;AL554046Z;-12.221;-55.852
PI-32;AL550370Z;-12.167;-55.873
PI-33;AL554047Z;-12.221;-55.852
PI-33;AL550590Z;-12.178;-55.876
PI-34;AL554048Z;-12.221;-55.852
PI-34;AL550591Z;-12.176;-55.863
PI-35;AL554049Z;-12.221;-55.852
PI-35;AL551841Z;-12.196;-55.877
PI-35;AL550372Z;-12.204;-55.862
PI-36;AL549600Z;-12.221;-55.852
PI-36;AL550592Z;-12.213;-55.863
PI-36;AL551842Z;-12.204;-55.88
PI-37;AL554050Z;-12.221;-55.852
PI-37;AL550376Z;-12.216;-55.876
PI-38;AL554051Z;-12.221;-55.852
PI-38;AL550593Z;-12.222;-55.871
PI-39;AL554052Z;-12.221;-55.852
PI-39;AL550594Z;-12.212;-55.892
PI-40;AL554053Z;-12.221;-55.852
PI-40;AL550595Z;-12.223;-55.893
PI-41;AL554054Z;-12.221;-55.852
PI-41;AL550596Z;-12.213;-55.896
PI-42;AL554055Z;-12.221;-55.852
PI-42;AL550597Z;-12.226;-55.905
PJ-01;AL551213Z;-16.935;-53.644
PL-01;AL553753Z;-13.849;-54.757
PL-01;AL551864Z;-13.811;-54.78
PL-02;AL551368Z;-13.795;-54.761
PL-03;AL551022Z;-13.795;-54.752
PL-04;AL553754Z;-13.849;-54.757
PL-04;AL551961Z;-13.817;-54.772
PL-05;AL553755Z;-13.849;-54.757
PL-05;AL550599Z;-13.806;-54.758
PL-06;AL553756Z;-13.849;-54.757
PL-06;AL550387Z;-13.829;-54.747
PL-07;AL550386Z;-13.819;-54.704
PL-08;AL550601Z;-13.837;-54.699
PL-09;AL553757Z;-13.849;-54.757
PL-09;AL550384Z;-13.846;-54.689
PL-10;AL550602Z;-13.851;-54.696
PL-11;AL551962Z;-13.859;-54.705
PL-11;AL551023Z;-13.856;-54.705
PL-12;AL550603Z;-13.862;-54.682
PL-13;AL551024Z;-13.868;-54.691
PL-14;AL551025Z;-13.871;-54.693
PL-14;AL551830Z;-13.876;-54.696
PL-15;AL553708Z;-13.861;-54.709
PL-15;AL551887Z;-13.875;-54.712
PL-20;AL553760Z;-13.849;-54.757
PL-20;AL551967Z;-13.815;-54.712
PN-01;AL553761Z;-13.849;-54.757
PN-01;AL550605Z;-13.886;-54.692
PN-02;AL553762Z;-13.849;-54.757
PN-02;AL550606Z;-13.9;-54.694
PN-03;AL551888Z;-13.914;-54.693
PN-04;AL551968Z;-13.926;-54.713
PN-05;AL550381Z;-13.907;-54.712
PN-06;AL550380Z;-13.922;-54.721
PN-07;AL553545Z;-13.937;-54.724
PN-07;AL551969Z;-13.938;-54.726
PN-08;AL551970Z;-13.928;-54.758
PN-09;AL553763Z;-13.849;-54.757
PN-09;AL551372Z;-13.924;-54.762
PN-10;AL553764Z;-13.849;-54.757
PN-10;AL551972Z;-13.911;-54.767
PN-11;AL550377Z;-13.902;-54.798
PN-11;AL551976Z;-13.9;-54.78
PN-12;AL550375Z;-13.921;-54.774
PN-13;AL551973Z;-13.912;-54.782
PN-14;AL551029Z;-13.923;-54.786
PN-17;AL553767Z;-13.849;-54.757
PN-18;AL553768Z;-13.849;-54.757
PR-01;AL550609Z;-16.396;-55.165
PR-02;AL550610Z;-16.399;-55.181
PR-03;AL550611Z;-16.395;-55.19
PR-04;AL550612Z;-16.388;-55.193
