Sensor/Armadilha;Latitude;Longitude
15045;-13,3290;-55,7350
15046;-13,3410;-55,7420
15047;-13,3390;-55,7210
15048;-13,3570;-55,7200
15049;-13,3780;-55,7260
15050;-13,3870;-55,7330
15051;-13,3830;-55,7130
15052;-13,3950;-55,7090
15053;-13,3670;-55,6900
15054;-13,3610;-55,6690
15055;-13,3450;-55,6660
15056;-13,3310;-55,6640
15057;-13,3280;-55,6780
15058;-13,3440;-55,6850
2000;-13,6860;-55,5880
2001;-13,7000;-55,5300
2002;-13,7500;-55,5370
2003;-13,7720;-55,5150
2004;-13,6430;-55,5100
2005;-13,6050;-55,5500
2006;-13,6960;-55,4720
2007;-13,6400;-55,4800
2008;-13,6900;-55,6230
2009;-13,6650;-55,6420
2010;-13,6450;-55,5420
2011;-13,6190;-55,5470
2012;-13,6180;-55,5250
2013;-13,5900;-55,5300
2014;-13,5680;-55,5560
2015;-13,6620;-55,5050
2016;-13,6690;-55,5580
2017;-13,6960;-55,5620
2018;-13,7360;-55,5530
2019;-13,7320;-55,5360
2020;-13,7500;-55,5050
2021;-13,7310;-55,4960
2022;-13,7170;-55,5090
2023;-13,6890;-55,5190
2024;-13,6870;-55,4970
2025;-13,6170;-55,4900
2026;-13,7030;-55,6420
2027;-13,6750;-55,6270
2030;-13,6760;-56,0430
2032;-13,6810;-56,0710
2035;-13,4650;-56,1850
2036;-13,4970;-56,2120
2037;-13,5020;-56,1920
2038;-13,4870;-56,2260
2039;-13,5080;-56,2360
3002;-12,1920;-55,7890
3003;-12,1710;-55,8700
5001;-12,8750;-56,3560
5002;-12,9090;-56,4020
5003;-12,8580;-56,3890
5004;-12,8380;-56,3570
5005;-12,8990;-56,4010
5006;-12,8600;-56,3520
5007;-12,9260;-56,3690
5008;-12,8700;-56,3410
5009;-12,8780;-56,4000
5010;-12,9040;-56,3730
5011;-12,8340;-56,3820
5012;-12,8490;-56,4410
5013;-12,8720;-56,4240
5014;-12,8590;-56,4020
5015;-12,8880;-56,4460
5017;-12,7790;-56,3920
5018;-12,9150;-56,3430
5019;-12,9070;-56,3230
AP-P01;-13,1760;-56,7710
AP-P02;-13,1840;-56,7970
AP-P03;-13,1870;-56,7870
AP-P04;-13,2060;-56,7800
AP-P05;-13,2060;-56,8010
AR-P01;-10,4670;-45,4730
BE-P01;-12,9040;-56,3730
BE-P02;-12,8860;-56,3620
BE-P03;-12,8600;-56,3510
BE-P04;-12,8390;-56,3570
BE-P05;-12,8990;-56,4010
BE-P06;-12,9130;-56,3910
BE-P07;-12,9260;-56,3680
BE-P08;-12,8340;-56,3810
BE-P09;-12,8580;-56,3880
BE-P10;-12,8780;-56,4000
BJ-P01;-16,7920;-54,1160
BJ-P02;-16,7830;-54,1010
BJ-P03;-16,7760;-54,0910
BJ-P04;-16,7780;-54,0790
BJ-P05;-16,7920;-54,0850
BJ-P06;-16,7850;-54,0600
BR-P04;-14,5910;-58,6970
BR-P06;-14,6100;-58,6700
BR-P09;-14,6010;-58,7060
BR-P15;-14,6010;-58,7270
BR-P19;-14,6030;-58,7490
BR-P21;-14,6110;-58,7790
BR-P22;-14,6340;-58,7730
BR-P25;-14,6290;-58,7330
BR-SEDE;-14,5730;-58,7060
BS-P01;-13,2280;-53,9520
BS-P01;-16,8290;-53,6400
BS-P02;-16,8020;-53,6520
BS-P03;-16,8150;-53,6570
BS-P04;-16,8200;-53,6690
CA-P01;-16,8500;-53,9760
CA-P02;-16,8680;-53,9950
CB-P01;-12,8690;-56,3410
CD-P01;-12,9810;-56,1810
CD-P02;-12,9830;-56,1560
CD-P03;-12,9740;-56,1380
CD-P04;-12,9580;-56,1390
CD-P05;-12,9630;-56,1620
CD-P06;-12,9670;-56,1850
CD-P07;-12,9700;-56,2000
CL-P01;-10,4870;-45,4380
CN-01;-10,4530;-45,3940
CO-P01;-13,2520;-53,9950
CO-P01;-16,6890;-53,8830
CO-P02;-13,2780;-53,9910
CO-P02;-14,5490;-58,6110
CO-P02;-16,6780;-53,8680
CO-P03;-16,7030;-53,8710
CO-P05;-14,5590;-58,6230
CO-P07;-14,5580;-58,6470
CO-P10;-14,6310;-58,6510
CO-P11;-14,5760;-58,5950
CP-P01;-16,8060;-53,9540
CP-P02;-16,7860;-53,9440
CP-P03;-16,7890;-53,9210
CR-P01;-16,8380;-54,0040
CR-P02;-16,8490;-54,0230
CS-P01;-16,9400;-53,6530
CS-P02;-16,9410;-53,6780
CS-P03;-16,9370;-53,6690
CT-P01;-16,8120;-53,7140
CT-P02;-16,7880;-53,6840
CU-P01;-13,1660;-56,7440
CU-P02;-13,1850;-56,7290
CU-P03;-13,2020;-56,7160
CU-P04;-13,2180;-56,7030
CU-P05;-13,2320;-56,7220
CU-P06;-13,2060;-56,7410
DV-P01;-13,5200;-56,5420
DV-P02;-13,5310;-56,5750
EL-P01;-16,8780;-53,9810
EL-P02;-16,9030;-53,9740
EL-P03;-16,9220;-53,9850
EL-P04;-16,8910;-54,0020
ER-P01;-13,1910;-53,9780
