Sensor/Armadilha;Latitude;Longitude
2014;-13.568;-55.556
2015;-13.662;-55.505
2016;-13.669;-55.558
2017;-13.696;-55.562
2018;-13.736;-55.553
2019;-13.732;-55.536
2020;-13.75;-55.505
2021;-13.731;-55.496
2022;-13.717;-55.509
2023;-13.689;-55.519
2024;-13.687;-55.497
2025;-13.617;-55.49
2026;-13.703;-55.642
2027;-13.675;-55.627
2030;-13.676;-56.043
2032;-13.681;-56.071
2035;-13.465;-56.185
2036;-13.497;-56.212
2037;-13.502;-56.192
2038;-13.487;-56.226
2039;-13.508;-56.236
3002;-12.192;-55.789
3003;-12.171;-55.87
5001;-12.875;-56.356
5002;-12.909;-56.402
5003;-12.858;-56.389
5004;-12.838;-56.357
5005;-12.899;-56.401
5006;-12.86;-56.352
5007;-12.926;-56.369
5008;-12.87;-56.341
5009;-12.878;-56.4
5010;-12.904;-56.373
5011;-12.834;-56.382
5012;-12.849;-56.441
5013;-12.872;-56.424
5014;-12.859;-56.402
5015;-12.888;-56.446
5017;-12.779;-56.392
5018;-12.915;-56.343
5019;-12.907;-56.323
AP-P01;-13.176;-56.771
AP-P02;-13.184;-56.797
AP-P03;-13.187;-56.787
AP-P04;-13.206;-56.78
AP-P05;-13.206;-56.801
AR-P01;-10.467;-45.473
BE-P01;-12.904;-56.373
BE-P02;-12.886;-56.362
BE-P03;-12.86;-56.351
BE-P04;-12.839;-56.357
BE-P05;-12.899;-56.401
BE-P06;-12.913;-56.391
BE-P07;-12.926;-56.368
BE-P08;-12.834;-56.381
BE-P09;-12.858;-56.388
BE-P10;-12.878;-56.4
BJ-P01;-16.792;-54.116
BJ-P02;-16.783;-54.101
BJ-P03;-16.776;-54.091
BJ-P04;-16.778;-54.079
BJ-P05;-16.792;-54.085
BJ-P06;-16.785;-54.06
BR-P04;-14.591;-58.697
BR-P06;-14.61;-58.67
BR-P09;-14.601;-58.706
BR-P15;-14.601;-58.727
BR-P19;-14.603;-58.749
BR-P21;-14.611;-58.779
BR-P22;-14.634;-58.773
BR-P25;-14.629;-58.733
BR-SEDE;-14.573;-58.706
BS-P01;-13.228;-53.952
BS-P01;-16.829;-53.64
BS-P02;-16.802;-53.652
BS-P03;-16.815;-53.657
BS-P04;-16.82;-53.669
CA-P01;-16.85;-53.976
CA-P02;-16.868;-53.995
CB-P01;-12.869;-56.341
CD-P01;-12.981;-56.181
CD-P02;-12.983;-56.156
CD-P03;-12.974;-56.138
CD-P04;-12.958;-56.139
CD-P05;-12.963;-56.162
CD-P06;-12.967;-56.185
CD-P07;-12.97;-56.2
CL-P01;-10.487;-45.438
CN-01;-10.453;-45.394
CO-P01;-13.252;-53.995
CO-P01;-16.689;-53.883
CO-P02;-13.278;-53.991
CO-P02;-14.549;-58.611
CO-P02;-16.678;-53.868
CO-P03;-16.703;-53.871
CO-P05;-14.559;-58.623
CO-P07;-14.558;-58.647
CO-P10;-14.631;-58.651
CO-P11;-14.576;-58.595
CP-P01;-16.806;-53.954
CP-P02;-16.786;-53.944
CP-P03;-16.789;-53.921
CR-P01;-16.838;-54.004
CR-P02;-16.849;-54.023
CS-P01;-16.94;-53.653
CS-P02;-16.941;-53.678
CS-P03;-16.937;-53.669
CT-P01;-16.812;-53.714
CT-P02;-16.788;-53.684
CU-P01;-13.166;-56.744
CU-P02;-13.185;-56.729
CU-P03;-13.202;-56.716
CU-P04;-13.218;-56.703
